timestamp,x,y,z
1705313891,0.16,0.47,9.06
1705313893,-1.1,0.71,9.26
1705313894,0.16,0.47,9.02
1705313895,0.24,0.43,9.1
1705313896,0.2,0.47,8.98
1705313897,-0.12,0.24,9.06
1705313898,0.24,0.55,9.06
1705313899,0.2,0.47,8.98
1705313900,0.16,0.47,9.1
1705313901,0.2,0.47,9.02
1705313902,0.16,0.47,9.02
1705313903,-3.65,-0.75,9.26
1705313904,0.39,0.43,8.94
1705313905,0.39,0.31,8.98
1705313906,0.51,0.35,9.14
1705313907,0.55,0.2,9.38
1705313908,0.35,0.35,9.06
1705313909,0.39,0.35,9.02
1705313910,0.39,0.31,8.9
1705313911,0.43,0.35,9.1
1705313912,0.75,0.98,8.67
1705313913,0.51,0.35,9.06
1705313914,0.47,0.39,9.06
1705313915,0.43,0.31,9.38
1705313916,0.63,0.39,9.57
1705313917,0.51,0.35,9.02
1705313918,0.55,0.35,9.1
1705313919,0.47,0.55,8.71
1705313922,0.43,0.27,9.02
1705313923,0.39,0.35,8.98
1705313924,0.43,0.31,8.98
1705313925,0.43,0.27,9.06
1705313926,0.43,0.31,9.1
1705313927,0.39,0.31,9.06
1705313928,0.47,0.27,9.06
1705313929,0.43,0.27,9.02
1705313930,0.43,0.35,9.06
1705313931,0.51,0.2,9.14
1705313932,0.35,0.35,9.1
1705313933,1.53,0.47,9.18
1705313934,0.59,0.27,9.06
1705313936,0.59,0.27,9.02
1705313937,0.55,0.31,8.94
1705313938,0.63,0.27,9.1
1705313939,0.67,0.27,9.06
1705313940,0.55,0.39,9.34
1705313941,0.59,0.27,9.14
1705313942,0.55,0.31,9.1
1705313943,0.59,0.31,9.02
1705313944,-2.35,0.67,8.43
1705313945,0.43,0.71,8.98
1705313947,0.43,0.63,9.1
1705313948,0.47,0.59,9.02
1705313949,0.43,0.59,8.9
1705313950,0.39,0.67,9.06
1705313952,0.47,0.63,9.02
1705313953,0.43,0.63,8.98
1705313954,0.39,0.67,9.02
1705313955,0.43,0.63,9.06
1705313956,0.39,0.63,9.06
1705313957,0.43,0.63,9.02
1705313958,0.43,0.63,9.02
1705313959,0.39,0.63,9.1
1705313960,0.43,0.67,9.14
1705313961,0.55,0.67,9.06
1705313962,0.43,0.63,9.02
1705313963,0.39,0.59,9.14
1705313964,-1.14,-0.16,10.32
1705313965,0.71,0.27,9.14
1705313966,0.75,0.24,9.06
1705313967,0.71,0.2,9.06
1705313968,0.71,0.2,9.02
1705313969,0.67,0.2,9.14
1705313970,0.71,0.24,9.18
1705313971,0.71,0.24,9.02
1705313972,0.86,0.12,9.45
1705313973,-0.51,0.27,8.79
1705313974,0,2.71,7.69
1705313975,0.39,0.43,9.06
1705313976,0.47,0.43,9.02
1705313977,0.43,0.39,9.02
1705313978,0.43,0.43,9.02
1705313979,0.43,0.47,9.06
1705313980,0.47,0.47,9.02
1705313981,0.47,0.43,9.02
1705313982,0.47,0.47,8.98
1705313983,0.43,0.43,9.02
1705313984,1.57,-0.35,9.41
1705313985,0.78,0.47,8.71
1705313986,0.63,0.31,9.1
1705313987,0.55,0.35,9.02
1705313988,0.59,0.31,8.98
1705313989,0.63,0.31,9.06
1705313990,0.63,0.31,9.06
1705313991,0.63,0.31,9.02
1705313992,0.59,0.31,9.06
1705313993,0.59,0.27,9.06
1705313994,0.59,0.35,8.98
1705313995,0.63,0.27,8.9
1705313996,0.51,0.16,8.94
1705313997,0.67,0.35,9.14
1705313999,0.63,0.27,8.98
1705314000,0.63,0.31,9.06
1705314001,0.59,0.35,9.06
1705314002,1.22,0.35,9.02
1705314003,-0.94,2.35,9.06
1705314004,0.35,0.43,9.1
1705314005,0.35,0.43,8.98
1705314006,0.31,0.47,9.02
1705314007,0.27,0.47,9.02
1705314008,0.31,0.43,9.02
1705314009,0.31,0.47,8.98
1705314010,0.31,0.47,9.02
1705314011,0.31,0.43,8.98
1705314012,0.43,0.31,8.32
1705314013,1.02,-0.75,8.87
1705314014,0.55,0.31,9.14
1705314015,0.51,0.24,8.94
1705314016,0.55,0.24,9.3
